,id,conversation_id,created_at,date,time,timezone,user_id,username,name,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,video,thumbnail,reply_to
0,1434406046299082752,1434406046299082752,2021-09-05 10:40:26 +04,2021-09-05,10:40:26,400,369808606,sahealth,SA Health,"South Australian COVID-19 update 5/9/21. For more information, go to  https://t.co/mYnZsGpayo or contact the South Australian COVID-19 Information Line on 1800 253 787.  https://t.co/V1Ec4I9i2Y",en,[],['http://sahealth.sa.gov.au/COVID2019'],"['https://pbs.twimg.com/media/E-gIr_2VcAYbEL-.jpg', 'https://pbs.twimg.com/media/E-gIr_4VUAIMB4A.jpg']",1,1,0,[],[],https://twitter.com/SAHealth/status/1434406046299082752,False,1,https://pbs.twimg.com/media/E-gIr_2VcAYbEL-.jpg,[]
1,1434406000749129729,1434406000749129729,2021-09-05 10:40:15 +04,2021-09-05,10:40:15,400,17169453,lesoir,Le Soir,Covid Safe Ticket: vers une extension à Bruxelles?  https://t.co/tdIZI7srZk  https://t.co/yoE31YhsoB,fr,[],['https://www.lesoir.be/393073/article/2021-09-05/covid-safe-ticket-vers-une-extension-bruxelles'],['https://pbs.twimg.com/media/E-gIp-hWYAM7uZG.jpg'],0,1,0,[],[],https://twitter.com/lesoir/status/1434406000749129729,False,1,https://pbs.twimg.com/media/E-gIp-hWYAM7uZG.jpg,[]
2,1434405991123075072,1434405991123075072,2021-09-05 10:40:12 +04,2021-09-05,10:40:12,400,82821040,chennaicorp,Greater Chennai Corporation,Here's the Info Graphic summary and Overall zone-wise status of Covid-19 cases in Chennai.  #Covid19Chennai  #GCC #Chennai  #ChennaiCorporation  https://t.co/mXdbAl76ID,en,[],[],"['https://pbs.twimg.com/media/E-gIT1VVgAoi8Ml.jpg', 'https://pbs.twimg.com/media/E-gIVblVUAwvkA0.jpg', 'https://pbs.twimg.com/media/E-gIcZmVQAMasvI.jpg']",0,0,2,"['covid19chennai', 'gcc', 'chennai', 'chennaicorporation']",[],https://twitter.com/chennaicorp/status/1434405991123075072,False,1,https://pbs.twimg.com/media/E-gIT1VVgAoi8Ml.jpg,[]
3,1434405937893175299,1434405937893175299,2021-09-05 10:40:00 +04,2021-09-05,10:40:00,400,15007299,elnacionalweb,El Nacional,Óscar de La Hoya suspende su combate de regreso tras dar positivo por covid-19 🦠   https://t.co/K4hDUuWJvZ,es,[],['https://www.elnacional.com/deportes/oscar-de-la-hoya-suspende-su-combate-de-regreso-tras-dar-positivo-por-covid-19/?utm_source=Twitter&utm_medium=Social&utm_campaign=social'],[],0,0,0,[],[],https://twitter.com/ElNacionalWeb/status/1434405937893175299,False,0,,[]
4,1434405937822019585,1434405937822019585,2021-09-05 10:40:00 +04,2021-09-05,10:40:00,400,32496789,wlos_13,WLOS,About a dozen National Guard service members have been sent to help a South Carolina hospital system as it is overwhelmed by the current COVID-19 surge there.  https://t.co/LJnC0L2aGC,en,[],['https://bit.ly/3n10mZp'],[],0,0,0,[],[],https://twitter.com/WLOS_13/status/1434405937822019585,False,0,,[]
5,1434405841369767937,1434405841369767937,2021-09-05 10:39:37 +04,2021-09-05,10:39:37,400,938697964226260992,bisouthafrica,Business Insider SA🇿🇦,Covid-19 threatens to cause global coffee shortage as major export hub goes into lockdown  https://t.co/UtTmNBshkC  https://t.co/UN3u019sxJ,en,[],['https://www.businessinsider.co.za/covid-19-lockdown-vietnam-threatens-to-cause-global-coffee-shortage-2021-9'],['https://pbs.twimg.com/media/E-gIgT4XIAIkloE.jpg'],0,0,0,[],[],https://twitter.com/BISouthAfrica/status/1434405841369767937,False,1,https://pbs.twimg.com/media/E-gIgT4XIAIkloE.jpg,[]
6,1434405719617556491,1434405719617556491,2021-09-05 10:39:08 +04,2021-09-05,10:39:08,400,106414156,bahisanalizcom,Bahisanaliz,Kosova'da Covid-19 kısıtlamaları nedeniyle son maçı kaçıran yıldız isim Milot Rashica takıma katıldı. Ayrıca kart cezaları biten orta saha Hekuran Kryeziu ve sol kanat Bernard Berisha da geri döndü. Öte yandan kanat oyuncuları Arber Zeneli ile Edon Zhegrova sakat.,tr,[],[],[],0,0,0,[],[],https://twitter.com/bahisanalizcom/status/1434405719617556491,False,0,,[]
7,1434405582979702787,1434405582979702787,2021-09-05 10:38:35 +04,2021-09-05,10:38:35,400,562800078,radiozet_news,Radio ZET NEWS,116-letnia Turczynka wygrała z Covid-19. Trzy tygodnie była na intensywnej terapii   https://t.co/U7NGLTTSSM,pl,[],['https://wiadomosci.radiozet.pl/Swiat/Covid-19-pokonala-116-letnia-Turczynka.-Trzy-tygodnie-byla-na-intensywnej-terapii'],[],0,0,2,[],[],https://twitter.com/RadioZET_NEWS/status/1434405582979702787,False,0,,[]
8,1434405472983937046,1434405472983937046,2021-09-05 10:38:09 +04,2021-09-05,10:38:09,400,759692754985242625,kumparan,kumparan,Pasien sembuh dari corona bertambah 305 orang dalam 24 jam terakhir. Saat ini masih ada 6.760 kasus aktif COVID-19 di Aceh. #publisherstory  https://t.co/ut6VQZVHwP,in,[],['https://kumparan.com/acehkini/25-840-dari-34-140-orang-positif-corona-di-aceh-telah-sembuh-1-540-meninggal-1wTBgPaSdhc?utm_medium=post&utm_source=Twitter&utm_campaign=int'],[],0,0,0,['publisherstory'],[],https://twitter.com/kumparan/status/1434405472983937046,False,0,,[]
9,1434405465790693379,1434405465790693379,2021-09-05 10:38:07 +04,2021-09-05,10:38:07,400,759692754985242625,kumparan,kumparan,"Sekolah tatap muka harus memperhatikan zonasi penyebaran COVID-19. Misalnya daerah zona merah, kuning dan hijau. #publisherstory  https://t.co/JVYbra1sXS",in,[],['https://kumparan.com/bumi-papua/sekolah-tatap-muka-di-papua-menyesuaikan-zonasi-penyebaran-covid-19-1wTBb0hjQ5I?utm_medium=post&utm_source=Twitter&utm_campaign=int'],[],0,0,0,['publisherstory'],[],https://twitter.com/kumparan/status/1434405465790693379,False,0,,[]
