,id,conversation_id,created_at,date,time,timezone,user_id,username,name,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,reply_to
0,1434409040449351682,1434409040449351682,2021-09-05 10:52:19 +04,2021-09-05,10:52:19,400,1954402777,thecableng,TheCable,"COVID-19: Infections take a leap as Nigeria logs 964 cases, 27 deaths | TheCable  https://t.co/cw1Rb6ZmXm  #COVID19  https://t.co/c3g0SypKiz",en,[],['https://www.thecable.ng/covid-19-infections-take-a-leap-as-nigeria-logs-964-cases-27-deaths/amp'],['https://pbs.twimg.com/media/E-gLa6PXEAEjzbZ.jpg'],0,0,0,['covid19'],[],https://twitter.com/thecableng/status/1434409040449351682,False,,1,https://pbs.twimg.com/media/E-gLa6PXEAEjzbZ.jpg,[]
1,1434408994316029956,1434408994316029956,2021-09-05 10:52:08 +04,2021-09-05,10:52:08,400,55118669,philstarnews,Philstar.com,"""I'll be back on a regular schedule again at the office tomorrow,"" Vice President Leni Robredo said, adding that many others from the OVP also had to undergo self-quarantine as the office was being ""very strict"" with COVID-19 protocols.  Read:  https://t.co/q8kxNvFVRB  https://t.co/c5E6PUcvCn",en,[],['https://www.philstar.com/headlines/2021/09/05/2125050/robredo-last-day-self-quarantine-after-contact-covid-19-patient'],['https://pbs.twimg.com/media/E-gLXRNVcAE0TPU.png'],0,0,0,[],[],https://twitter.com/PhilstarNews/status/1434408994316029956,False,,1,https://pbs.twimg.com/media/E-gLXRNVcAE0TPU.png,[]
2,1434408871112626183,1434408871112626183,2021-09-05 10:51:39 +04,2021-09-05,10:51:39,400,16803630,sunday_mail,Sunday Mail,'Stuck in moral and medical maze over kids and Covid jabs' - Sunday Mail opinion   https://t.co/wOLZF6t7st,en,[],['https://www.dailyrecord.co.uk/news/scottish-news/stuck-moral-medical-maze-jabs-24911957'],[],0,1,0,[],[],https://twitter.com/Sunday_Mail/status/1434408871112626183,False,,0,,[]
3,1434408754641084418,1434408754641084418,2021-09-05 10:51:11 +04,2021-09-05,10:51:11,400,851336634,20musa,20minutos USA,Kentucky: Gobernador convoca a legislatura contra COVID  https://t.co/uS1AHBWsM9,es,[],['http://ver.20m.es/_n0oh2'],[],0,0,0,[],[],https://twitter.com/20mUsa/status/1434408754641084418,False,,0,,[]
4,1434408729718394880,1434408729718394880,2021-09-05 10:51:05 +04,2021-09-05,10:51:05,400,723390422941208576,utdbofficial,Uttarakhand Tourism,Gartang Gali is a 136m long wooden step bridge that offers an exciting view of the Nelong valley in Uttarkashi. The Bridge is open for tourists. All are requested to follow proper Covid guidelines while visiting Uttarakhand. #uttarakhandtourism #responsibletourism #gartanggali  https://t.co/HAFE0656V3,en,[],[],[],0,1,3,"['uttarakhandtourism', 'responsibletourism', 'gartanggali']",[],https://twitter.com/UTDBofficial/status/1434408729718394880,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1434408672021544966/pu/img/HM8cfYmLs8cJ7rz_.jpg,[]
5,1434408587770617858,1434408587770617858,2021-09-05 10:50:32 +04,2021-09-05,10:50:32,400,8973062,rtenews,RTÉ News,At a glance: Today's walk-in Covid vaccine clinics  https://t.co/FrWZl9LBbl,en,[],['https://www.rte.ie/news/2021/0903/1244649-hse-vaccination-clinics/'],[],0,2,1,[],[],https://twitter.com/rtenews/status/1434408587770617858,False,,0,,[]
6,1434408478647328774,1434408478647328774,2021-09-05 10:50:05 +04,2021-09-05,10:50:05,400,27702153,lefsetz,Bob Lefsetz,Oracle Park Concession Workers Threaten to Strike After Many Test COVID-19 Positive – NBC Bay Area  https://t.co/yo7ys7TOLX,en,[],['https://www.nbcbayarea.com/news/local/oracle-park-concession-workers-threaten-to-strike-after-many-test-covid-19-positive/2647326/'],[],0,1,1,[],[],https://twitter.com/Lefsetz/status/1434408478647328774,False,,0,,[]
7,1434408459391406080,1434408459391406080,2021-09-05 10:50:01 +04,2021-09-05,10:50:01,400,167317309,ukrinform,Ukrinform,За добу проти COVID-19 вакцинували майже 70 тисяч українців   https://t.co/75yyyXrtj8  https://t.co/jw8qDeznsK,uk,[],['https://www.ukrinform.ua/rubric-society/3310211-za-dobu-proti-covid19-vakcinuvali-majze-70-tisac-ukrainciv.html'],['https://pbs.twimg.com/media/E-gK5JjWYAgvjNU.jpg'],0,0,0,[],[],https://twitter.com/UKRINFORM/status/1434408459391406080,False,,1,https://pbs.twimg.com/media/E-gK5JjWYAgvjNU.jpg,[]
8,1434408398607446020,1434408398607446020,2021-09-05 10:49:46 +04,2021-09-05,10:49:46,400,3303023034,dynamitenews_,Dynamite News,"Covid-19: India reports 42,766 new infections, 308 deaths   #COVID19 #Coronavirus @MoHFW_INDIA    https://t.co/J7nZ1GyCGZ",en,"[{'screen_name': 'mohfw_india', 'name': 'ministry of health', 'id': '2596143056'}]",['https://www.dynamitenews.com/story/covid-19-india-reports-42766-new-infections-308-deaths'],[],0,1,0,"['covid19', 'coronavirus']",[],https://twitter.com/DynamiteNews_/status/1434408398607446020,False,,0,,[]
9,1434408388452966402,1434408388452966402,2021-09-05 10:49:44 +04,2021-09-05,10:49:44,400,15142076,limkitsiang,Lim Kit Siang,The Covid-19 pandemic statistics in the first week of the Sabri Ismail Cabinet are still grim and bleak    https://t.co/8CplN2QqhP  https://t.co/iYAK9lRTUU,en,[],['https://bit.ly/3zQiPvh'],['https://pbs.twimg.com/media/E-gK08mVUAEWhSC.jpg'],0,0,1,[],[],https://twitter.com/limkitsiang/status/1434408388452966402,False,,1,https://pbs.twimg.com/media/E-gK08mVUAEWhSC.jpg,[]
10,1434408282265849857,1434364437150920707,2021-09-05 10:49:19 +04,2021-09-05,10:49:19,400,1552074888,gonggasgirl,Tanya Selak,@traumagasdoc I think $2.5B here spent on covid testing so far…. 😬.,en,[],[],[],0,0,0,[],[],https://twitter.com/GongGasGirl/status/1434408282265849857,False,,0,,"[{'screen_name': 'traumagasdoc', 'name': 'Dr Helgi', 'id': '292400876'}]"
11,1434408258723188740,1434408258723188740,2021-09-05 10:49:13 +04,2021-09-05,10:49:13,400,800707492346925056,axios,Axios,Kentucky governor calls state lawmakers into special session on COVID emergency   https://t.co/Tvml4BCML3,en,[],['https://www.axios.com/kentucky-governor-calls-special-covid-session-05798cf1-4e37-4ab6-882d-106a01649b72.html?utm_source=twitter&utm_medium=social&utm_campaign=onhrs'],[],2,2,4,[],[],https://twitter.com/axios/status/1434408258723188740,False,,0,,[]
